1;10;16;re: тема;"Елена, добрый день! Прошу забронировать под наше выступление 1.5 часа 06.03.2019 г. Тема выступления:  Система комплаенс контроля доступов к ИР и ролевая модель Банка. Выступающие: Кисляков С.А.  Ханафиев А.А. Агарков М.И.";09.08.2018;17:44:34
2;4;20;без темы;"Коллеги, AD мы можем использовать в двух вариантах: 1. Как и все остальные АС,  по которым мы строим наши метрики. За исключение прав доступа - пользовательских групп в AD огромное количество (многие из них дают доступ на сетевом уровне), мы их не анализировали на пилоте. Это можно заложить в развитие, так как это отдельная большая задача. 2. Как вспомогательную систему, которая позволяет идентифицировать УЗ сотрудника в АС, где, например, нет табельного номера  В СУДИРе есть карточки AD, но у нас задача так же проверять данные в конечной системе, так как есть вероятность вносить изменения в обход СУДИР, либо СУДИР может некорректно отрабатывать.   + Миша Агарков ";04.08.2018;23:58:49
3;6;18;срочно;"По поводу AD всех ТБ интегрированы с СУДИР, кроме интернет доменов во внешнем сегменте, предназначенные для организации и контроля доступа сотрудников ТБ в интернет, с ними интеграции нет и не будет. СУДИР поддерживает целевое решение – домен Sigma. Соответственно, необходимо решить берем ли мы на борт все AD тербанков. Либо останавливаемся на мастер-системе СУДИР и все возможные кейсы черпаем от туда.  ";02.09.2018;15:22:35
4;4;12;без темы;"Алексей привет!  Мы вчера встречались с SAP GRC. Нам необходимо включить их в нашу КА так как на Архсовете первым делом будет вопрос от Карлова по SAP GRC.  Этот блок скорее всего будет как и остальные через ТФС -> ККАФ. ";13.05.2018;4:53:21
5;10;17;приказ президента;"Коллеги, коммуникация по АС завершена! Во вложении результат. Всем ответственным лицам направлены требования к доработке +опросник Ответы по опроснику получены по системам: Юпитер и ЦБДБО. АС Transact SM-Экспресс-кредиты необходимо исключить ввиду архивного использования. Буду держать на контроле по исполнению. ";27.09.2018;3:23:11
6;5;14;111;"Максим, мы наверное посмотрим на новую базу, которую прислал Валериан? У нас примерно неделю-полторы это займет, чтобы соотнести с нашими данными, сколько точек мы увидим у себя из полученных 11 тыс. Предыдущую базу, наверное, нет уже смысла смотреть?   Либо нужно нанести на карту и кластеризовать по зонам пока все ваши точки? Без соотнесения с нашими данными?   Андрей  ";02.03.2018;8:28:04
7;8;18;re: тема;"Коллеги, добрый день!  Большая просьба от Академии технологии и данных поделиться кейсами по применению Big Data в Банке. Хотим включить реальные кейсы в очную часть программы Big Data II  Кейс должен состоять из следующих пунктов: • Что за данные использовали и откуда? • Экономическая выгода? • Как выполнялся пилот? • С какими трудностями столкнулись? • Насколько выросли KPI?  И любая дополнительная информация, которой вы захотите поделиться.  Это поможет нам наполнить программу практической частью. Наши слушатели очень просят больше банковских кейсов.  Прошу отправлять кейсы Валерии Листопадовой (VVListopadova.CU@sberbank.ru), она курирует линейку программ по Big Data.  Спасибо! ";07.03.2018;14:05:38
8;6;20;без темы;"Егор, добрый день!  Мы завтра с коллегами, которые занимаются данными и аналитикой, обсудим, что именно и в какие сроки мы можем предоставить по вашему запросу. После чего предлагаю поставить конференс-колл на следующей неделе – для уточнения деталей. Какие возможности по доступному времени у вас есть?  Параллельно предлагаю начать процедуру согласования рамочного договора. Его вышлет Анастасия. Каждый заказанный продукт будет оформляться отдельным ТЗ к этому рамочному договору. Стоимость и сроки каждого продукта будем обсуждать после совместного уточнения задачи.   Мария ";23.11.2018;18:58:40
9;9;14;срочно;"Добрый день.  По пунктам: 1. Есть АС Back-Office. ФП Ведение электронного архива это одна из подсистем этой АС.  2. Выгрузку направляли по одному из тербанков (ББ) ФП Ведение электронного архива.  3. Логирование операций (а именно успешные/неуспешные события входа в АС, события блокировки УЗ, события предоставления прав доступа) по «ФП Ведение электронного архива» не ведется.   ";31.08.2018;14:37:39
10;6;15;без темы;"Доброе утро! Коллеги, необходимо мне разобраться с некоторыми моментами. 1. Скажите АС Back Office и АС ЭА то разные АС? Если да, то как они между собой связаны? 2. Вы направляли выгрузку по АС Back Office это выгрузка по каким ФП? 3. По логам событий для обеих АС они есть? У кого можно запросить. Спасибо ";09.10.2018;17:52:16
